Property_ID,Type,City,Size_SqFt,Bedrooms,Bathrooms,Year_Built,Listing_Price,Rental_Price,Neighborhood,Status
59,Condo,Miami,3356,5,1,1953,1942578.757,2092.602692,South Beach,Sold
60,Apartment,New York,821,5,3,1984,1461299.819,4288.668785,Bronx,Available
61,Condo,Chicago,4006,2,1,1957,1685484.755,7565.669805,Lincoln Park,Sold
62,Condo,New York,2193,5,1,1984,1297634.812,4938.542216,Bronx,Rented
63,Apartment,San Francisco,1563,2,1,2017,679807.3372,778.304134,Mission District,Available
64,Apartment,Seattle,3611,4,1,1985,1238918.538,1964.93018,Queen Anne,Sold
65,Condo,Los Angeles,1976,4,3,1993,1076444.614,6651.778997,Santa Monica,Rented
66,House,San Francisco,3417,2,3,2013,1870941.98,4083.765655,SoMa,Rented
67,Townhouse,San Francisco,3761,2,3,2016,1154557.698,1024.347091,Mission District,Sold
68,Apartment,Seattle,3293,3,2,1969,152999.8506,3191.658336,Downtown,Sold
69,Townhouse,Miami,3586,1,2,2021,1403580.88,5857.221784,Little Havana,Sold
70,House,San Francisco,4311,1,3,2006,196027.0341,6080.474385,Mission District,Sold
71,House,Chicago,2759,5,2,2004,1893601.496,4908.148118,Lincoln Park,Rented
72,House,San Francisco,3851,5,3,1963,1024526.043,6137.041196,SoMa,Sold
73,Apartment,Chicago,1458,2,1,1950,1939214.629,3681.395947,Lincoln Park,Rented
74,House,New York,4643,2,3,2006,149142.8873,4073.430021,Manhattan,Sold
75,Apartment,Miami,2082,1,3,1963,1112414.841,3725.690319,Downtown,Rented
76,House,Chicago,3676,5,2,2000,529791.596,2694.604898,Lincoln Park,Sold
77,Townhouse,San Francisco,2916,1,3,2007,1034289.047,5376.317741,Downtown,Sold
78,Townhouse,Miami,959,4,1,1958,1046599.599,5470.995653,South Beach,Sold
79,Condo,Miami,2794,1,3,1997,1175637.132,6981.913168,South Beach,Rented
80,Townhouse,Chicago,2811,1,3,1976,783317.1296,2891.994404,Hyde Park,Rented
81,Condo,Chicago,1729,2,3,2021,197934.4504,5314.228155,Hyde Park,Rented
82,Townhouse,Los Angeles,2030,5,3,1977,301583.5567,3070.118763,Beverly Hills,Rented
83,Apartment,Los Angeles,1887,4,2,2005,1731265.066,7287.897522,Beverly Hills,Rented
84,Townhouse,Miami,3297,1,2,1983,1435267.366,2932.504663,South Beach,Sold
85,Condo,Seattle,1863,1,2,1951,1561855.579,6411.323267,Capitol Hill,Sold
86,Condo,Seattle,952,2,3,1973,333071.8593,6749.55583,Queen Anne,Sold
87,House,Los Angeles,4404,3,1,1998,193558.241,3195.491432,Hollywood,Rented
88,Apartment,San Francisco,1077,5,2,1989,132825.0668,2094.130891,Downtown,Sold
89,Townhouse,New York,4419,5,1,1957,1091447.229,1052.863366,Manhattan,Sold
90,House,Miami,3512,5,2,2018,1051704.559,7329.931183,Downtown,Sold
91,Townhouse,New York,3764,1,1,2016,1086948.085,5404.842561,Brooklyn,Sold
92,Townhouse,Los Angeles,2431,1,3,1979,758582.0032,6648.915193,Hollywood,Sold
93,House,Chicago,4742,1,3,2001,1107408.232,5138.179581,The Loop,Sold
94,House,Miami,682,3,2,1988,1384048.194,1697.45439,Downtown,Rented
95,House,Los Angeles,3677,1,1,2020,1638997.209,2776.815054,Hollywood,Sold
96,House,San Francisco,2759,5,3,1962,1318638.696,3031.315574,SoMa,Rented
97,House,Miami,1137,5,3,1951,157012.285,3728.850912,Downtown,Sold
98,Townhouse,Miami,3505,2,3,2015,1213573.22,892.3040878,Downtown,Rented
99,House,Seattle,4774,3,2,2015,267050.5909,5525.901589,Queen Anne,Sold
100,Apartment,Chicago,2979,4,1,1964,1173329.233,2529.424193,Hyde Park,Available
101,Condo,Miami,3972,1,2,2008,814376.0649,4100.652891,Little Havana,Rented
102,House,Chicago,1024,4,1,1967,644041.3666,947.5082116,The Loop,Available
103,House,Los Angeles,3290,1,2,2018,1015260.595,5728.036372,Hollywood,Rented
104,Townhouse,San Francisco,2870,3,3,1979,824808.607,4608.826158,Mission District,Sold
105,House,San Francisco,1784,3,1,1954,1677513.964,7288.396441,Mission District,Sold
106,House,Miami,2135,5,2,1989,530335.6386,1979.360129,Little Havana,Sold
107,House,Miami,2223,3,3,1970,359747.0449,7682.787512,South Beach,Sold
108,Townhouse,Los Angeles,2946,4,3,2013,1690260.47,7293.83104,Hollywood,Sold
109,House,Seattle,4932,4,1,1957,562476.957,2717.95563,Queen Anne,Sold
110,Condo,Seattle,4714,3,2,1955,161248.6149,7235.074253,Queen Anne,Sold
111,Townhouse,Seattle,2081,4,3,2017,835268.1982,2689.77825,Queen Anne,Rented
112,Condo,Chicago,2960,1,1,2007,1656185.311,3020.065266,The Loop,Rented
113,Townhouse,Seattle,1079,2,1,2001,920553.2654,7317.596716,Queen Anne,Rented
114,House,San Francisco,4441,5,3,1979,993162.2739,6407.072127,SoMa,Rented
115,Condo,Chicago,695,2,2,2006,189674.874,3808.819825,Lincoln Park,Sold
116,Townhouse,Los Angeles,832,4,1,1976,1450995.281,1352.642587,Hollywood,Rented
117,Apartment,San Francisco,3591,5,3,1993,753044.5263,3974.4283,Downtown,Rented
118,House,San Francisco,1157,2,3,2018,1484374.685,6831.787687,SoMa,Sold
119,Other,New York,1203,2,3,1960,880844.522,4939.462271,Brooklyn,Rented
120,Other,Los Angeles,1949,4,2,1992,1101096.427,863.640632,Santa Monica,Rented
121,Townhouse,Los Angeles,1752,5,2,1984,1220022.942,3563.462097,Beverly Hills,Available
122,Apartment,New York,1023,5,1,1960,474092.2738,5749.182351,Manhattan,Available
123,House,Chicago,2764,2,1,2003,658627.3605,7110.135719,The Loop,Sold
124,Condo,Seattle,2922,5,3,1999,1212580.781,7827.204007,Queen Anne,Rented
125,Apartment,Seattle,535,5,1,2010,1663587.088,6775.560908,Capitol Hill,Sold
126,Townhouse,Seattle,1275,1,3,1954,1926742.401,7037.287093,Downtown,Rented
127,House,Seattle,2759,4,1,1975,1095922.961,2112.794171,Capitol Hill,Sold
128,Apartment,Seattle,585,4,2,1982,240433.7561,6949.609148,Downtown,Sold
129,Townhouse,New York,2735,1,2,1972,1916425.479,7447.724557,Brooklyn,Available
130,Townhouse,Los Angeles,2852,2,3,2007,899460.9986,5256.486846,Beverly Hills,Rented
131,Townhouse,Chicago,3993,3,1,2020,294711.6383,4155.951223,Hyde Park,Sold
132,Apartment,San Francisco,4781,2,1,1958,1947183.803,6585.314657,Mission District,Sold
133,Apartment,Seattle,3056,1,1,1965,632976.2222,5128.277781,Capitol Hill,Sold
134,Apartment,New York,4812,5,3,2022,1347992.166,6707.359021,Manhattan,Sold
135,Condo,Chicago,756,1,1,1993,373826.7226,3885.646062,The Loop,Sold
136,Apartment,Chicago,4306,4,2,1977,1467169.595,1837.343367,Hyde Park,Available
137,Apartment,Chicago,1947,5,1,1972,1954996.263,7381.990902,The Loop,Sold
138,Apartment,New York,4919,2,2,1961,1971607.707,7762.734466,Brooklyn,Rented
139,Condo,San Francisco,2744,5,1,1991,339797.4734,7795.615246,Downtown,Sold
140,Apartment,Seattle,3843,4,3,1958,1560542.853,7667.204821,Queen Anne,Rented
141,Townhouse,Chicago,1193,1,3,2007,1362151.295,4202.442562,Hyde Park,Rented
142,Apartment,New York,2565,2,1,2022,1622794.356,5217.067357,Brooklyn,Rented
143,Townhouse,Los Angeles,4100,3,1,1968,733096.5783,7105.297386,Beverly Hills,Sold
144,Townhouse,New York,4720,3,2,1985,863318.712,674.6984069,Manhattan,Available
145,Townhouse,New York,982,1,3,2015,749443.2211,1717.428654,Brooklyn,Rented
146,Condo,New York,2759,2,1,2006,1556381.682,1737.436316,Brooklyn,Sold
147,Condo,Chicago,3575,2,3,2006,1637299.094,2154.331016,Hyde Park,Rented
148,Condo,New York,3174,5,3,1974,573672.4137,3541.177711,Bronx,Sold
149,Apartment,Los Angeles,2898,1,1,1962,1188298.277,3974.911819,Santa Monica,Rented
150,Townhouse,Chicago,850,5,1,2008,339337.9597,3432.748248,The Loop,Sold
151,Condo,Los Angeles,1148,1,1,1962,125009.7718,7091.072484,Hollywood,Sold
152,Condo,Miami,4370,4,1,1976,1259140.523,2436.370219,South Beach,Rented
153,Apartment,New York,727,1,2,1989,1696384.987,6041.107905,Manhattan,Rented
154,Condo,Seattle,2563,5,1,2001,1822451.058,7812.60564,Downtown,Rented
155,Apartment,Seattle,924,2,2,1966,1278686.516,5419.880839,Capitol Hill,Sold
156,House,Chicago,3011,1,1,2000,1636513.688,835.5553561,The Loop,Available
157,Condo,Seattle,2321,2,3,1951,868053.3009,1354.008828,Queen Anne,Sold
158,House,Chicago,4772,4,1,1961,1038524.31,6790.820751,The Loop,Rented
159,Apartment,New York,3090,3,2,1977,1571963.405,3205.884447,Brooklyn,Rented
160,Townhouse,San Francisco,3056,3,1,1974,686203.0187,3530.392684,SoMa,Sold
161,Condo,San Francisco,2085,5,1,1980,1234711.699,7136.710713,Mission District,Sold
162,Apartment,Los Angeles,2178,1,3,1976,197391.4667,5791.632011,Beverly Hills,Rented
163,Townhouse,New York,2780,4,3,2008,378515.5467,5839.113157,Bronx,Sold
164,Townhouse,Seattle,4249,4,2,1950,1898640.156,5545.761282,Capitol Hill,Rented
165,House,New York,3038,2,1,1984,118533.005,5247.18389,Manhattan,Rented
166,Apartment,Miami,1516,5,1,1950,486145.6606,6163.468789,Downtown,Sold
167,Townhouse,San Francisco,943,4,3,1958,363736.166,5755.173849,Downtown,Sold
168,Condo,Seattle,2567,1,2,1982,1427660.456,1214.283555,Capitol Hill,Rented
169,Condo,San Francisco,4182,4,1,1993,300819.2955,2153.466685,Mission District,Sold
170,House,New York,4298,3,2,2002,138245.0972,1315.831879,Manhattan,Sold
171,Townhouse,Seattle,4127,5,2,1996,1867929.645,6559.595122,Downtown,Rented
172,Apartment,Los Angeles,610,2,2,1995,1758242.884,4964.818586,Hollywood,Rented
173,Condo,New York,3034,1,3,1967,781052.6691,7737.461414,Brooklyn,Rented
174,Townhouse,Los Angeles,588,3,3,1965,290995.4006,5885.954227,Beverly Hills,Sold
175,Townhouse,Seattle,3890,4,1,2008,1388584.103,4214.982827,Capitol Hill,Sold
176,House,San Francisco,2441,5,2,2001,1777920.501,7494.843074,Downtown,Sold
177,Condo,Miami,3810,5,2,2002,1951838.521,7743.214844,Little Havana,Sold
178,Condo,Chicago,571,1,2,2009,347235.4719,5205.189032,The Loop,Sold
179,Apartment,San Francisco,1321,2,1,1958,1240400.296,5195.521253,Mission District,Available
180,Condo,Los Angeles,3970,3,1,1977,918046.9524,4850.189976,Santa Monica,Sold
181,Apartment,New York,1315,2,2,2015,397825.6711,1135.124635,Bronx,Rented
182,Condo,Seattle,903,1,2,1971,1635002.012,6239.007846,Downtown,Sold
183,House,San Francisco,2198,1,2,1984,1586162.648,7073.424258,SoMa,Rented
184,Condo,Miami,4846,3,1,1990,1932832.014,4681.92557,Little Havana,Rented
185,Apartment,Seattle,3416,5,2,1980,262514.26,1951.40045,Downtown,Rented
186,Apartment,Los Angeles,2542,5,2,2012,553862.5527,6593.242036,Santa Monica,Sold
187,House,Seattle,2453,3,3,2008,1672393.536,7214.152716,Capitol Hill,Sold
188,Condo,Seattle,3793,2,2,1959,851310.4555,6546.390806,Queen Anne,Rented
189,Condo,New York,4202,3,3,1985,1004275.505,2087.87085,Queens,Available
190,House,Chicago,3753,5,2,2021,1261897.921,2126.443491,The Loop,Sold
191,Condo,Los Angeles,4301,2,3,1996,876063.3905,3936.551427,Hollywood,Sold
192,Condo,New York,755,4,3,2007,167254.5651,1680.990233,Bronx,Available
193,Apartment,Chicago,2431,2,1,1996,1247571.352,5656.102306,Hyde Park,Rented
194,Condo,New York,1611,5,2,1971,534857.6664,5810.994285,Manhattan,Sold
195,Condo,Chicago,1372,1,2,1979,1940854.987,7898.749751,The Loop,Rented
196,House,Chicago,2061,2,2,1972,1411618.727,3339.962038,Hyde Park,Sold
197,House,Chicago,4957,2,3,1996,1697242.906,5942.44201,Lincoln Park,Sold
198,Townhouse,New York,1393,1,1,2003,1913362.7,4225.115495,Bronx,Rented
199,Apartment,Seattle,3184,5,3,1965,220319.8839,1717.589552,Capitol Hill,Sold
200,Condo,Chicago,1746,4,3,1959,382515.766,7340.491851,Hyde Park,Sold
201,Condo,Seattle,1246,4,3,1985,1635244.332,949.4426561,Queen Anne,Available
202,Townhouse,Los Angeles,4553,3,2,1977,1781104.343,816.2287611,Beverly Hills,Sold
203,Condo,Miami,4585,4,3,1991,1083435.22,2486.623617,Downtown,Rented
204,Apartment,Seattle,1506,4,3,1966,1895926.959,7996.762381,Capitol Hill,Available
205,Townhouse,Miami,3240,2,1,1997,963318.8501,656.0213578,Downtown,Sold
206,Apartment,Chicago,4810,3,2,2001,978990.7169,3673.05971,The Loop,Sold
207,Townhouse,Miami,4822,4,1,2009,1769610.945,4390.041076,Little Havana,Sold
208,Townhouse,Miami,1390,2,2,1988,650112.3073,2859.967139,Little Havana,Rented
209,House,Chicago,2991,3,1,2000,1208633.088,5791.693757,The Loop,Sold
210,Apartment,Seattle,3376,2,2,2000,734959.8386,3299.096836,Downtown,Available
211,Condo,Chicago,2131,1,2,1954,315753.6001,5461.127633,Lincoln Park,Rented
212,Condo,Los Angeles,4203,5,3,2013,781299.2985,3080.018219,Santa Monica,Rented
213,Apartment,San Francisco,2526,5,1,1985,428761.7147,1623.741227,SoMa,Sold
214,Condo,New York,4607,5,2,1988,1089860.963,4718.138729,Manhattan,Sold
215,Condo,Chicago,3822,4,3,1960,1106608.947,4645.399808,Hyde Park,Available
216,Apartment,Chicago,1241,5,1,2003,930883.7895,2475.841018,Hyde Park,Sold
217,Townhouse,Miami,3508,5,2,1953,430245.4051,3209.375129,Downtown,Available
218,Apartment,Los Angeles,2476,3,2,1997,325591.1661,3763.784249,Hollywood,Rented
219,Townhouse,Miami,4162,3,2,2004,298774.1927,4718.50122,Downtown,Rented
220,Condo,Seattle,4300,3,3,1982,313113.0316,5317.919054,Capitol Hill,Rented
221,Condo,Chicago,4071,4,1,1950,660268.6896,1431.643837,The Loop,Available
222,Condo,Chicago,3411,5,2,1983,103542.3839,1589.630912,The Loop,Sold
223,House,Miami,3584,4,2,1978,218286.9934,3248.597599,Little Havana,Sold
224,Townhouse,Chicago,1273,4,1,2016,993844.3356,3619.23786,Lincoln Park,Sold
225,House,Seattle,2644,4,1,1973,447112.2824,2989.104355,Downtown,Rented
226,House,San Francisco,1492,4,1,2015,600419.9983,5349.373758,SoMa,Sold
227,Apartment,New York,2338,4,1,2020,771312.8622,7727.563007,Queens,Sold
228,House,New York,4313,4,2,2010,175337.6882,5038.772679,Queens,Sold
229,Apartment,New York,3821,5,3,1992,518041.2365,1803.692776,Manhattan,Sold
230,Apartment,San Francisco,4342,3,1,1994,1575706.298,2961.859948,Downtown,Sold
231,House,Chicago,3753,2,3,1984,747704.2259,4587.897765,Hyde Park,Sold
232,Townhouse,Miami,2375,2,3,1982,453703.229,2849.983519,Downtown,Sold
233,Townhouse,Los Angeles,3737,2,3,2018,475714.5648,3965.889642,Hollywood,Sold
234,Townhouse,Chicago,503,1,1,2016,1970992.539,4839.452503,The Loop,Sold
235,Townhouse,San Francisco,664,3,3,1961,382065.1041,5795.211787,Downtown,Rented
236,Townhouse,Seattle,4939,5,3,2017,1820294.615,2262.709261,Downtown,Rented
237,House,San Francisco,2397,4,2,1981,253035.1513,4026.172484,SoMa,Rented
238,House,New York,3740,2,1,1973,1761417.836,3559.036279,Brooklyn,Rented
239,Condo,Chicago,3067,3,1,2000,1063140.974,1219.854801,The Loop,Rented
240,Townhouse,New York,4007,5,1,2015,1256540.207,5014.823705,Bronx,Sold
241,House,Los Angeles,3059,2,1,2018,567270.2127,6344.751512,Beverly Hills,Rented
242,Condo,Seattle,1838,3,1,1961,1807356.482,6876.835006,Downtown,Rented
243,Townhouse,New York,1112,5,2,1974,1215576.327,1050.075119,Bronx,Rented
244,Apartment,Los Angeles,2384,3,3,1973,1383830.107,4734.340573,Hollywood,Sold
245,Condo,San Francisco,4524,4,2,1993,1157845.915,7904.034505,SoMa,Sold
246,House,New York,3634,3,3,1994,337945.8485,6164.058919,Queens,Sold
247,Apartment,New York,1555,3,1,2006,1688826.897,4923.288574,Queens,Sold
248,Apartment,Miami,2122,1,2,1994,448811.7659,723.7245048,Downtown,Rented
249,Other,Seattle,3782,4,1,1967,654701.251,969.5056981,Capitol Hill,Sold
250,Condo,Seattle,3110,3,1,2000,1372085.389,899.1055327,Capitol Hill,Sold
251,House,San Francisco,3569,4,3,1969,277325.6511,6454.901811,SoMa,Rented
252,Apartment,Miami,1755,3,3,1978,1873468.009,4575.501394,Little Havana,Rented
253,Townhouse,Los Angeles,3160,4,3,2012,335842.4116,2796.039437,Hollywood,Sold
254,Apartment,Los Angeles,4724,5,2,1983,1367596.296,7065.523712,Beverly Hills,Sold
255,Apartment,San Francisco,1542,2,3,2017,1306731.949,6587.229416,SoMa,Sold
256,Condo,Seattle,4952,1,1,1954,1426257.867,6336.168447,Downtown,Rented
257,Condo,Los Angeles,1942,2,3,1971,923358.9292,6303.648823,Santa Monica,Sold
258,House,San Francisco,4177,3,3,1974,826341.9002,1935.369585,Mission District,Rented
259,Townhouse,Los Angeles,4676,3,3,2011,1957550.173,7067.327972,Santa Monica,Sold
260,Condo,Chicago,4186,5,3,1950,1652601.119,1976.326962,The Loop,Available
261,Apartment,New York,2404,3,1,1989,1022342.921,6974.043066,Queens,Rented
262,House,Seattle,3213,4,3,1980,446308.4174,7186.832373,Queen Anne,Sold
263,Apartment,Chicago,2377,2,1,1954,1792051.813,5842.879801,Hyde Park,Rented
264,Apartment,San Francisco,1290,3,2,1997,1332623.929,5816.867984,Mission District,Rented
265,Condo,San Francisco,724,5,2,2022,357969.4588,2455.278679,Downtown,Rented
266,House,Chicago,3534,1,1,2000,447898.3264,2848.558307,Lincoln Park,Rented
267,Townhouse,New York,4732,2,2,1978,1127557.734,4794.328901,Brooklyn,Rented
268,Townhouse,New York,725,5,3,2000,1056998.911,4792.872569,Manhattan,Rented
269,Condo,Miami,3905,5,3,2004,877636.1559,3046.896056,Downtown,Rented
270,Condo,Los Angeles,3679,2,3,1991,911060.591,7223.90571,Hollywood,Sold
271,House,Miami,1311,5,2,1969,427184.5155,1484.027576,Downtown,Sold
272,Townhouse,New York,2992,1,1,2009,585385.284,3421.681523,Queens,Rented
273,Townhouse,Chicago,4602,1,2,1988,1036146.015,2438.786283,The Loop,Sold
274,Townhouse,Los Angeles,4723,3,2,2010,221038.8168,7467.378752,Beverly Hills,Sold
275,Apartment,Chicago,4566,4,1,2013,770096.3581,1571.103117,The Loop,Sold
276,Townhouse,Miami,4862,3,1,1972,499710.2907,4030.704737,South Beach,Rented
277,Apartment,San Francisco,4809,4,2,1958,431831.57,815.8681341,Downtown,Rented
278,House,Chicago,746,2,2,2002,378526.7332,6338.602508,Hyde Park,Sold
279,Apartment,Miami,2118,5,1,2000,366359.9219,5459.077736,Downtown,Sold
280,House,Miami,2327,3,1,1981,404833.9744,6820.463483,Little Havana,Rented
281,Townhouse,Miami,3945,5,2,2001,810852.5759,2696.293071,Downtown,Sold
282,Townhouse,San Francisco,920,3,3,1961,292764.6146,4647.053363,Downtown,Sold
283,House,San Francisco,3264,3,3,2015,1804378.725,7688.028652,SoMa,Available
284,Condo,San Francisco,1871,1,3,1970,1046040.638,2395.61401,SoMa,Available
285,House,Los Angeles,4738,4,1,1989,1059073.425,7278.602404,Hollywood,Rented
286,Condo,San Francisco,2688,2,3,1960,501075.3449,7606.64617,SoMa,Sold
287,Apartment,San Francisco,3112,5,3,2010,1747594.889,3335.397149,Downtown,Sold
288,Apartment,San Francisco,2580,3,1,1977,1673449.035,2987.459611,Downtown,Rented
289,Apartment,Chicago,4824,5,1,1954,165067.4952,2624.278026,Lincoln Park,Sold
290,Townhouse,San Francisco,3235,1,1,2012,1491568.263,6820.564247,SoMa,Rented
291,Apartment,Los Angeles,1329,2,3,1964,450111.3918,5627.938978,Hollywood,Available
292,Condo,Miami,2759,4,3,1981,1155672.004,2070.287139,Little Havana,Available
293,Apartment,Chicago,1349,4,3,1990,1753984.712,6913.185399,Lincoln Park,Available
294,House,New York,3280,3,3,1985,1874700.309,1936.207854,Brooklyn,Sold
295,House,San Francisco,1653,2,1,1958,1062526.173,4173.388995,Mission District,Sold
296,Townhouse,Miami,4329,4,3,1993,1885194.447,1357.683512,South Beach,Rented
297,House,Miami,3182,2,1,1956,232207.1951,5362.522189,Downtown,Sold
298,Condo,Chicago,3579,5,2,1993,1827720.434,5448.184543,The Loop,Available
299,Apartment,New York,902,1,2,1993,1567419.398,3217.338546,Queens,Rented
300,Townhouse,Seattle,3475,2,2,1955,1836267.122,1280.316087,Downtown,Rented
301,Apartment,Los Angeles,2102,2,3,1965,795677.83,4593.983291,Beverly Hills,Sold
302,Other,Seattle,1480,4,1,2015,1887480.655,7405.227103,Downtown,Sold
303,Condo,Miami,2794,3,2,1953,1655181.924,6432.342575,Downtown,Rented
304,House,Seattle,2759,3,1,2013,723812.7898,4806.612532,Downtown,Sold
305,House,Miami,3852,5,3,1954,743974.9151,1064.374556,Little Havana,Rented
306,Apartment,Seattle,4628,4,3,1986,778709.3825,5418.472403,Downtown,Sold
307,Townhouse,Miami,1298,4,2,1975,1218694.809,3080.557058,South Beach,Sold
308,House,Miami,3095,1,2,1979,445608.6082,6035.447285,South Beach,Rented
309,Townhouse,Chicago,1866,3,2,1951,923649.7819,804.3684504,Lincoln Park,Sold
310,House,New York,3438,4,3,1967,228554.9957,4115.074793,Brooklyn,Sold
311,Townhouse,Miami,1762,5,3,1956,780799.4055,3172.514923,Downtown,Rented
312,Condo,Los Angeles,3276,1,2,1969,1366792.791,608.5086306,Santa Monica,Rented
313,Townhouse,Los Angeles,3748,3,3,1964,1219991.699,4026.978018,Beverly Hills,Sold
314,Condo,San Francisco,803,3,3,2001,701417.8697,1638.785105,SoMa,Rented
315,Condo,Miami,2193,3,2,1977,588687.6873,664.3528199,Little Havana,Sold
316,Townhouse,Miami,2816,1,3,2013,721483.3735,5112.890842,South Beach,Rented
317,Condo,Miami,4995,5,3,2016,232140.3348,7901.297569,South Beach,Sold
318,Apartment,Seattle,1421,5,1,1952,589397.1973,5580.578321,Queen Anne,Sold
319,Condo,Miami,920,4,1,2006,1445296.92,7116.285959,Little Havana,Sold
320,House,Miami,2678,4,1,2004,439622.501,1446.477163,Downtown,Available
321,Townhouse,Los Angeles,4309,3,3,1961,362638.0394,2721.29604,Beverly Hills,Sold
322,Apartment,New York,1666,2,3,2013,1707508.676,6262.635498,Bronx,Rented
